,date_eod,ticker,open,close,high,close.1,volume
2749,2012-07-10,SAMPLE,47.56,46.03,48.17,46.03,3505052
2750,2012-07-11,SAMPLE,46.23,46.06,46.86,46.06,3348128
2751,2012-07-12,SAMPLE,45.57,45.28,45.7,45.28,3658641
2752,2012-07-13,SAMPLE,45.49,46.6,46.83,46.6,2645563
2753,2012-07-16,SAMPLE,46.31,45.85,46.39,45.85,2095389
2754,2012-07-17,SAMPLE,46.21,45.43,46.26,45.43,3299236
2755,2012-07-18,SAMPLE,45.04,45.86,46.46,45.86,2484180
2756,2012-07-19,SAMPLE,46.145,47.16,47.8,47.16,3108932
2757,2012-07-20,SAMPLE,46.72,45.99,47.08,45.99,3432868
2758,2012-07-23,SAMPLE,44.94,44.32,44.94,44.32,3779798
2759,2012-07-24,SAMPLE,44.42,42.67,44.95,42.67,5241759
2760,2012-07-25,SAMPLE,43.04,41.15,43.7,41.15,7292628
2761,2012-07-26,SAMPLE,41.39,38.57,41.39,38.57,15621612
2762,2012-07-27,SAMPLE,38.92,39.39,39.7,39.39,6624967
2763,2012-07-30,SAMPLE,39.4,39.72,39.86,39.72,4878003
2764,2012-07-31,SAMPLE,39.89,40.89,41.68,40.89,6416289
2765,2012-08-01,SAMPLE,41.21,41.73,42.24,41.73,5686575
2766,2012-08-02,SAMPLE,41.26,40.53,41.54,40.53,7895825
2767,2012-08-03,SAMPLE,41.86,42.11,43.25,42.11,9650496
2768,2012-08-06,SAMPLE,42.36,43.26,43.73,43.26,3450699
2769,2012-08-07,SAMPLE,43.65,43.98,44.71,43.98,4403128
2770,2012-08-08,SAMPLE,43.76,44.29,44.56,44.29,4371230
2771,2012-08-09,SAMPLE,44.05,44.97,45.25,44.97,2626876
2772,2012-08-10,SAMPLE,44.51,44.91,44.94,44.91,2845160
2773,2012-08-13,SAMPLE,44.09,43.3,44.55,43.3,3185900
2774,2012-08-14,SAMPLE,43.82,42.06,44.0,42.06,4989795
2775,2012-08-15,SAMPLE,41.99,41.61,42.01,41.61,3582883
2776,2012-08-16,SAMPLE,41.87,42.42,42.7968,42.42,2776059
2777,2012-08-17,SAMPLE,42.47,42.23,43.24,42.23,3519422
2778,2012-08-20,SAMPLE,41.98,41.64,42.158,41.64,4621165
2779,2012-08-21,SAMPLE,42.06,40.64,42.56,40.64,5792451
2780,2012-08-22,SAMPLE,40.59,41.41,41.45,41.41,4821779
2781,2012-08-23,SAMPLE,41.15,39.32,41.16,39.32,6446432
2782,2012-08-24,SAMPLE,39.07,38.89,39.12,38.89,6550254
2783,2012-08-27,SAMPLE,39.01,37.72,39.09,37.72,4899259
2784,2012-08-28,SAMPLE,37.48,37.36,37.81,37.36,4922133
2785,2012-08-29,SAMPLE,36.96,36.84,37.17,36.84,6721848
2786,2012-08-30,SAMPLE,36.39,35.75,36.45,35.75,5666929
2787,2012-08-31,SAMPLE,36.51,35.84,36.65,35.84,5948669
2788,2012-09-04,SAMPLE,35.76,33.68,35.82,33.68,9351066
2789,2012-09-05,SAMPLE,32.73,34.72,35.0799,34.72,9672628
2790,2012-09-06,SAMPLE,34.32,34.86,35.8,34.86,10157553
2791,2012-09-07,SAMPLE,36.16,39.91,40.22,39.91,15960102
2792,2012-09-10,SAMPLE,39.53,39.18,42.15,39.18,16906620
2793,2012-09-11,SAMPLE,40.1,41.68,42.6799,41.68,11964217
2794,2012-09-12,SAMPLE,41.95,40.62,42.4,40.62,9745501
2795,2012-09-13,SAMPLE,41.42,43.18,43.94,43.18,14224469
2796,2012-09-14,SAMPLE,45.08,45.55,46.83,45.55,16573938
2797,2012-09-17,SAMPLE,43.97,42.36,44.0,42.36,13474568
2798,2012-09-18,SAMPLE,42.0,43.28,43.49,43.28,10652405
2799,2012-09-19,SAMPLE,43.46,42.89,43.77,42.89,7779521
2800,2012-09-20,SAMPLE,41.77,42.49,42.59,42.49,11149750
2801,2012-09-21,SAMPLE,43.44,40.93,43.44,40.93,11191923
2802,2012-09-24,SAMPLE,40.08,40.77,40.92,40.77,8137627
2803,2012-09-25,SAMPLE,41.05,38.96,41.45,38.96,7982386
2804,2012-09-26,SAMPLE,38.73,39.09,39.97,39.09,7937111
2805,2012-09-27,SAMPLE,40.05,39.83,40.23,39.83,6242548
2806,2012-09-28,SAMPLE,39.28,39.13,39.69,39.13,6033664
2807,2012-10-01,SAMPLE,39.95,38.88,40.35,38.88,4974434
2808,2012-10-02,SAMPLE,39.24,38.55,39.54,38.55,4208449
2809,2012-10-03,SAMPLE,38.67,37.89,38.73,37.89,6455614
2810,2012-10-04,SAMPLE,38.41,37.85,38.79,37.85,9670266
2811,2012-10-05,SAMPLE,38.45,38.36,38.78,38.36,5297179
2812,2012-10-08,SAMPLE,38.26,40.58,41.08,40.58,8643638
2813,2012-10-09,SAMPLE,41.38,41.65,43.25,41.65,12840965
2814,2012-10-10,SAMPLE,41.93,40.53,42.1399,40.53,7084818
2815,2012-10-11,SAMPLE,41.2,40.98,41.98,40.98,7269131
2816,2012-10-12,SAMPLE,40.52,40.5,41.35,40.5,6085399
2817,2012-10-15,SAMPLE,40.66,41.14,41.53,41.14,5129470
2818,2012-10-16,SAMPLE,41.5,44.07,44.23,44.07,12140850
2819,2012-10-17,SAMPLE,44.21,45.62,45.68,45.62,10758246
2820,2012-10-18,SAMPLE,45.11,45.79,46.5,45.79,7864459
2821,2012-10-19,SAMPLE,45.47,44.45,45.95,44.45,6121855
2822,2012-10-22,SAMPLE,43.7,44.99,45.8199,44.99,5941617
2823,2012-10-23,SAMPLE,43.75,43.55,44.1,43.55,5911338
2824,2012-10-24,SAMPLE,44.0,42.69,44.67,42.69,7642585
2825,2012-10-25,SAMPLE,40.6,38.2,40.96,38.2,14496844
2826,2012-10-26,SAMPLE,38.5,36.49,38.52,36.49,12612856
2827,2012-10-31,SAMPLE,36.9,36.27,37.61,36.27,7092631
2828,2012-11-01,SAMPLE,36.61,37.72,37.88,37.72,6542922
